NodeId,Epoch,Type,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,SubEpoch30,SubEpoch31,SubEpoch32,SubEpoch33,SubEpoch34,SubEpoch35,SubEpoch36,SubEpoch37
N4,6,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,6,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,6,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,6,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,6,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,6,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0,7,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,7,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,7,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,7,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,7,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,7,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,7,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,7,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,7,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,7,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0,8,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,8,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,8,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,8,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,8,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,8,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,8,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,8,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,8,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,8,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0,9,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,9,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,9,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,9,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,9,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,9,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,9,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,9,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,9,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,9,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N0,10,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N1,10,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2,10,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N3,10,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N4,10,Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N5,10,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N6,10,Ideal Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N7,10,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N8,10,Fair Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N9,10,Weak Utilitarian,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
